año,Artigas,Canelones,Cerro Largo,Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandú,Rivera,Rocha,Río Negro,Salto,San José,Soriano,Tacuarembó,Treinta y Tres
1990,77739,416866,83022,122081,56749,25376,68019,63315,118818,1385362,113826,99728,71649,52254,118452,95800,83617,85366,50865
1991,77657,423549,83341,122330,56853,25427,68080,63208,120960,1384891,113976,100032,71738,52423,118909,96443,83660,85721,50853
1992,77574,430338,83662,122580,56958,25479,68141,63101,123141,1384420,114125,100337,71827,52592,119368,97090,83704,86078,50842
1993,77492,437236,83984,122830,57062,25530,68203,62995,125361,1383949,114274,100643,71916,52762,119829,97741,83747,86436,50830
1994,77410,444245,84308,123080,57167,25582,68264,62888,127621,1383479,114424,100950,72005,52933,120292,98397,83791,86795,50818
1995,77328,451367,84632,123331,57273,25633,68326,62782,129922,1383008,114574,101258,72095,53103,120756,99057,83834,87156,50807
1996,77246,458602,84958,123583,57378,25685,68387,62676,132265,1382538,114724,101567,72184,53275,121222,99722,83878,87519,50795
1997,77166,463813,85242,123835,57487,25740,68446,62511,134923,1382071,114877,101897,72273,53458,121727,100429,83922,87900,50783
1998,77086,469023,85527,124086,57597,25795,68504,62347,137580,1381605,115031,102228,72362,53640,122233,101135,83966,88281,50770
1999,77005,474234,85811,124338,57706,25850,68563,62182,140238,1381138,115184,102558,72451,53823,122738,101842,84009,88662,50758
2000,76925,479444,86095,124590,57815,25905,68621,62017,142896,1380672,115337,102888,72540,54005,123244,102549,84053,89044,50746
2001,76845,484655,86380,124841,57925,25960,68680,61852,145553,1380205,115490,103219,72629,54188,123749,103256,84097,89425,50734
2002,76765,489866,86664,125093,58034,26015,68738,61688,148211,1379739,115644,103549,72718,54370,124254,103962,84141,89806,50721
2003,76685,495076,86948,125345,58143,26070,68797,61523,150869,1379272,115797,103879,72807,54553,124760,104669,84185,90187,50709
2004,76604,500287,87233,125596,58253,26124,68855,61358,153526,1378806,115950,104210,72897,54735,125265,105376,84228,90568,50697
2005,76524,505497,87517,125848,58362,26179,68914,61193,156184,1378339,116103,104540,72986,54918,125771,106083,84272,90949,50685
2006,76444,510708,87801,126100,58471,26234,68972,61029,158842,1377873,116257,104870,73075,55100,126276,106789,84316,91330,50672
2007,76364,515919,88086,126351,58581,26289,69031,60864,161499,1377406,116410,105201,73164,55283,126781,107496,84360,91711,50660
2008,76284,521129,88370,126603,58690,26344,69089,60699,164157,1376940,116563,105531,73253,55465,127287,108203,84404,92093,50648
2009,76203,526340,88654,126855,58799,26399,69148,60534,166815,1376473,116716,105861,73342,55648,127792,108910,84447,92474,50636
2010,76123,531550,88939,127106,58909,26454,69206,60370,169472,1376007,116870,106192,73431,55830,128298,109616,84491,92855,50623
2011,76043,536761,89223,127358,59018,26509,69265,60205,172130,1375540,117023,106522,73520,56013,128803,110323,84535,93236,50611
2012,76163,542777,89373,128061,59267,26489,69353,60119,175532,1369491,117425,106754,74119,56123,129419,111106,84464,93467,50369
2013,76284,548794,89523,128764,59517,26469,69442,60033,178934,1363442,117826,106985,74718,56233,130035,111888,84393,93699,50127
2014,76404,554810,89674,129468,59766,26450,69530,59948,182335,1357394,118228,107216,75317,56343,130652,112671,84322,93930,49885
2015,76524,560826,89824,130171,60016,26430,69618,59862,185737,1351345,118630,107448,75916,56453,131268,113453,84252,94162,49643
2016,76645,566842,89974,130874,60265,26410,69707,59776,189139,1345296,119031,107680,76515,56563,131884,114236,84181,94393,49401
2017,76765,572858,90124,131578,60514,26390,69795,59690,192540,1339247,119433,107911,77114,56674,132500,115018,84110,94624,49158
2018,76885,578875,90274,132281,60764,26370,69883,59604,195942,1333198,119835,108142,77712,56784,133116,115801,84039,94856,48916
2019,77006,584891,90424,132984,61013,26350,69972,59518,199344,1327149,120236,108374,78311,56894,133732,116584,83968,95087,48674
2020,77126,590907,90574,133687,61263,26330,70060,59432,202746,1321100,120638,108606,78910,57004,134348,117366,83898,95319,48432
2021,77246,596924,90725,134390,61512,26311,70148,59347,206148,1315052,121040,108837,79509,57114,134965,118149,83827,95550,48190
2022,77367,602940,90875,135094,61762,26291,70237,59261,209549,1309003,121441,109068,80108,57224,135581,118931,83756,95782,47948
2023,77487,608956,91025,135797,62011,26271,70325,59175,212951,1302954,121843,109300,80707,57334,136197,119714,83685,96013,47706
2024,77611,615052,91153,136484,62217,26252,70400,59116,216801,1297208,122240,109530,81429,57422,136806,120498,83615,96220,47463
