,Artigas,Canelones,Cerro Largo,Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandú,Rivera,Rocha,Río Negro,Salto,San José,Soriano,Tacuarembó,Treinta y Tres
1990,143827400.18217987,790510967.7002852,170657261.36984646,452521424.07131165,129526414.71622492,71745910.35483631,182231858.0672537,160400020.58048993,458972820.3921644,4815540746.537077,263710676.7375319,199028109.94756567,175472843.94012725,236563739.2258064,253013041.3366288,266997724.82888246,224281272.64402544,179825026.08961812,123980591.5779361
1991,172836858.9945121,959934227.9336858,205702505.46076238,545095088.8410468,155963481.90928766,86409931.29746646,219365164.26455653,192844232.82340404,555520557.3991522,5795907006.641857,317457900.70350665,239790612.5554736,211241054.81807682,285068616.403542,304970778.24210477,322193104.89445347,269938796.1426543,216789463.50149238,149147268.08046478
1992,198054654.2486263,1111593437.522511,236435833.8563435,626133372.0375354,179080575.4344194,99242066.87209442,251808489.30881804,221090262.50059316,641199970.5329001,6652111972.6628685,364418557.0552378,275490419.28397447,242496285.564415,327575278.7358503,350534689.40590036,370752785.16185325,309812918.08361906,249220955.76206285,171096266.70517632
1993,230055678.55601457,1304848920.7144003,275474340.33874506,729054295.3813483,208432514.37675345,115536110.24537481,293003847.612804,256941721.5926283,750247089.2050368,7739227452.2904215,424043922.0899084,320830450.3838928,282181398.05754757,381569343.51009214,408412840.9834859,432464179.39559305,360436984.90559393,290418759.7739767,198957121.7608842
1994,267193839.99461553,1531560013.6594446,320919348.91330975,848792384.6322032,242566906.78045422,134491073.37024683,340895344.1796948,298569527.7433753,877774599.9153037,9002970624.148367,493365828.5922666,373584857.1689056,328320640.22189665,444412885.5074071,475787741.19023585,504388504.02701837,419284960.26916534,338382868.2428397,231326947.33505207
1995,294208768.5182643,1704344279.1684132,354439194.32615614,936877212.8540019,267631186.51854447,148422259.14150873,376018383.89237976,328926192.41377276,973687765.918255,9929193300.249653,544205939.2264651,412417967.9526405,362165727.41832656,490722880.7092105,525485359.1700284,557721702.3199754,462407505.69520706,373790632.48909706,254996838.56869793
1996,311856694.88057774,1825842964.1819513,376841765.80291414,995492924.3184053,284254875.06525445,157682316.82106,399269882.7441888,348839071.8803444,1039798860.6269922,10541852545.14721,577867285.5024345,438283462.496101,384578360.67343515,521631095.0629676,558699178.2082434,593667979.1380278,490925096.6444877,397483716.5293753,270590037.8617308
1997,363420705.8597731,2144233803.3948083,440337601.05104667,1162704813.117929,331905368.67233366,184155737.38237637,466038825.29040605,406516413.5480944,1221404052.8330047,12302736178.956305,674554668.9243015,512105613.3491682,448926097.24333024,609503201.1203562,653125335.4315659,694768845.9327348,572940030.6669291,464714287.807446,315647653.314692
1998,383897584.8149917,2282453698.3070235,466403753.9397463,1230970131.1248214,351295784.4659508,194955509.784941,493087668.127161,429422977.8472664,1300434179.4029207,13014757751.274092,713768088.5985163,542391973.2036526,475022210.04176116,645554909.8929256,692089548.4028296,737015337.0691501,606111555.6058997,492490297.8954432,333764017.72370875
1999,361760521.24862117,2167240157.470719,440691366.5901701,1162590757.1661675,331687199.4475754,184113729.44085738,465404422.5987532,404662419.20435494,1235069354.9746346,12282088895.522682,673746780.8959237,512464470.01593065,448388478.8037892,609946280.7792438,654220138.3561318,697442347.5589901,571999465.1925923,465593357.4696428,314835047.8834156
2000,343370816.2750494,2072602424.5417433,419406927.71185297,1105951278.2910016,315438619.88283134,175132499.99240184,442451087.591548,384090400.2989641,1181400837.4401603,11674543280.071558,640570906.8477292,487688995.022264,426310381.1375763,580465821.4011725,622894793.8382523,664757818.4431384,543716154.9196831,443348730.4062432,299129117.9962323
2001,313613689.87548614,1907159270.7971554,384082528.49529505,1012349064.9683244,288663353.90276057,160300066.23152462,404753202.9237858,350803144.6466233,1087331821.2215044,10678132969.786888,586037119.3787233,446590813.93600863,390018114.7598071,531555931.4312592,570673022.6183598,609675151.965288,497320848.876083,406223349.8135048,273478276.61022013
2002,203664143.99044305,1247723373.3767219,250088795.17600343,658886038.6567005,187823530.10765904,104324301.44944872,263268343.54395545,227816144.28481787,711519351.7428119,6944438237.071961,381215698.55358964,290775550.45226634,253705287.7191456,346100976.36580855,371742557.83102435,397566868.49416137,323435252.69559574,264646560.3158835,177774710.75840095
2003,179843448.15739825,1109896436.8516493,221421653.79640827,583106200.2442309,166175230.97041848,92319776.65647042,232845751.68669757,201169860.47238278,633057633.3919094,6140980947.597986,337188733.05388856,257431860.60193264,224405111.17775306,306418535.2238792,329271418.9527903,352512728.27087456,286020347.4364161,234434864.28288665,157137813.02472737
2004,203821344.66921198,1267065179.3892493,251607119.68376526,662306726.9635339,188695800.41287804,104851019.66337186,264308956.0824664,227992077.36925066,722851459.4922508,6969719475.47342,382782229.3314481,292511827.40333366,254750573.26526123,348176442.8358691,374314629.4590509,401151631.0329165,324624380.965665,266532839.49735093,178266177.12881064
2005,257922378.43539134,1614988633.0298605,319226948.45027465,839942433.9817334,239239439.6553616,132964357.53507572,334994108.41644186,288507755.98212504,921529177.836581,8832265222.173805,485187237.8546316,371106768.41499716,322904207.97380126,441735745.085792,475112902.1315535,509699290.4990155,411383450.9935744,338340738.3528654,225806887.05161676
2006,292519908.95734656,1844767855.2212172,362993604.2436603,954693025.6346647,271849060.9890345,151119968.55019933,380526555.3649073,327209082.2617104,1052855760.690125,10031236032.482643,551180512.2108053,421965807.30938697,366823606.11901456,502280752.0348361,540476156.5395775,580411037.7299029,467237746.229186,384927653.7918232,256346613.53006
