year,volumen,fecha
2004,721361.5719999999,2004-12-31
2005,730786.1,2005-12-31
2006,752412.8550000001,2006-12-31
2007,786252.812,2007-12-31
2008,807258.525,2008-12-31
2009,823713.437,2009-12-31
2010,852126.7590000001,2010-12-31
2011,866667.262,2011-12-31
2012,845402.993,2012-12-31
2013,867359.508,2013-12-31
2014,844100.055,2014-12-31
2015,838839.946,2015-12-31
2016,851544.487,2016-12-31
2017,872689.948,2017-12-31
2018,857455.111,2018-12-31
2019,879782.002,2019-12-31
2020,862178.598,2020-12-31
2021,945427.631,2021-12-31
2022,1001462.154,2022-12-31
2023,989183.969,2023-12-31
2024,968602.69,2024-11-30
