year,volumen,fecha
2004,280093.954,2004-12-31
2005,287134.443,2005-12-31
2006,301761.57399999996,2006-12-31
2007,334066.157,2007-12-31
2008,381554.779,2008-12-31
2009,444006.544,2009-12-31
2010,499874.68200000003,2010-12-31
2011,571662.903,2011-12-31
2012,630639.647,2012-12-31
2013,672962.296,2013-12-31
2014,713661.47,2014-12-31
2015,760012.167,2015-12-31
2016,806275.936,2016-12-31
2017,843941.4890000001,2017-12-31
2018,844121.315,2018-12-31
2019,861940.12,2019-12-31
2020,803206.121,2020-12-31
2021,860672.15,2021-12-31
2022,881454.269,2022-12-31
2023,878296.437,2023-12-31
2024,835442.536,2024-11-30
