DEPARTAMENTO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Artigas,2877408.0895062108,3344077.144142288,3141777.311078061,2812283.347633672,3144675.6590016447,3625689.934189412,3972326.975156134,3545912.76761698,3613883.8925694344,3514060.730838364,2977582.134502495,2725833.7906047795,2014575.0444648636,2183157.9093040177,2213464.0963680274,2097732.1306866524,2111893.50205332,2041407.5716015631,2498340.9429970873,2546041.9069720316,2532624.78221407,2711694.675300832,2612975.5773533853,3584839.8456076854,3211053.9759554355,3377944.646611054,3580821.9016509415,3568549.4982241364,3750004.219808056,3785218.3890882274,3930317.5788384443,4202634.259263478,4390352.569489889,4696868.234959919
Canelones,9214380.997223107,9658696.167878998,11894116.742663568,12069960.024443995,13220607.304933194,16580237.51281182,20241283.15724621,25403446.490402743,29083679.93787809,30713231.086027764,29412498.63308423,28730124.332598936,23017519.100676138,22695339.035286587,18153692.014267184,17618542.888248596,19036321.276165273,18181697.20325434,18625971.234652396,18783611.350021724,15790186.732473979,16766754.369786905,14573131.267749703,21166142.731178313,24506720.639174968,33396947.664182212,36684954.373806186,39173845.02388676,39923726.13902442,41242358.22227121,40429529.7293171,43047408.377354786,49306580.79905836,47952514.99771832
Cerro Largo,2219658.1494735423,2908989.3050659723,3090362.9833764997,2983825.7230926845,3103051.8055460746,3758084.923296659,4783612.54696895,5349331.062358522,5635853.6717793,5217972.310661035,3938429.7428229526,4062262.9775302005,3339998.3279774776,3090880.807851805,2620998.5497345612,2928748.8587967316,3075787.156337452,3481929.061075025,3806016.849038714,3576765.9829268237,3927355.4381683134,3566219.3944988884,3056432.765954417,3345969.100344737,3951630.1598980534,4536473.711844173,5351607.534379145,5795541.6525403075,6219798.738714801,6113191.894468174,5623179.617074453,6196721.380820341,6780542.539856064,7205622.827002528
Colonia,4596640.921320359,5456754.339470177,6154162.596432939,6606013.73132812,6177338.897822166,7057067.586354551,9077813.800734984,11254564.991228081,13226972.733048901,13014474.66563033,12232250.233793987,10404264.025390634,7285669.949299924,7198745.645590434,6477202.906672064,6746268.459658504,7052098.018958418,7712879.420852966,9858675.380764289,12326327.927411165,14338701.96304107,16368322.756854158,20082296.914438225,21630438.74357202,24554832.729487956,20721213.134883,21718778.032530297,21179398.186907023,21372666.891374286,19876925.56859677,18195926.17499675,19103187.788943682,19223508.595909234,19351850.698046472
Durazno,1766630.9555539081,2599012.345496827,2802381.1895260965,2734941.5504196626,2465083.055261606,3032085.294946317,3304073.8475178373,4161423.985262304,4469610.9018888315,4519513.334269121,4102547.873568529,3600931.30223241,2755101.4041345827,2489514.986726805,2390550.824890937,2563711.2934967154,3490217.0099804024,4193725.28353178,4050173.6920387684,4106298.8061441523,4108396.840451408,4600848.9587781485,4351793.991051692,5255929.176443865,5512435.821217322,5426199.130629804,6059395.421684148,6363201.230429445,6827507.329092132,6608701.640314993,5472935.803425522,6427559.581484714,6675202.405672601,7190812.170338535
Flores,1007929.6386959848,1325769.865862288,1527298.896297906,1680290.030934435,1693068.7078466339,2128005.3950600745,2427221.9266407723,2638876.393579519,3150747.1430196133,3760499.522178931,4122399.2850561338,3741653.733131383,2910863.0590321054,3018867.4073282303,3006572.5217213724,3198526.969977633,4310072.238992359,5197615.386157094,4918216.562101187,5368684.570418356,6141238.185007353,6453607.726680585,7651648.631106306,8057198.755845541,8000709.522362199,6341095.4321466405,6366794.5562673835,6183262.741901214,5927746.831523641,5455608.572366328,5227369.424288517,5703210.3922531335,5816592.93331884,5483531.7719072215
Florida,2272780.9062825963,2827767.4001637246,3430658.3172021364,3262788.7989836712,3102819.793499801,3096932.9038811955,4897832.791909975,4774857.8984780945,5421013.854838231,5531677.633372165,5282071.379574126,4401017.997390593,3375721.1446792637,3416836.8072785717,3223139.3003310817,3350432.775087199,3647284.3839563755,3786236.3585536596,3667959.1142501617,3659048.2638695403,4054692.480987288,3541385.2250620592,4579056.212380356,6494531.497828989,7309262.3114130115,6646039.454352908,7150628.523409324,7364030.31085872,7471060.658846896,7218234.246108858,6607031.345769555,7351031.283880863,7911609.650001085,8469352.502184805
Lavalleja,1706129.2990851947,2183116.0538392905,2789591.0500476826,2830792.164502022,3029406.4653303106,3021641.3251342354,3995206.3217025492,5379092.695290413,5464314.724850004,5411789.3223476,5283201.211954517,4585206.205408617,3299727.2351616607,3103593.2671656385,3009718.075597392,2971651.2738518673,3366278.7166569927,3032839.917304878,3130424.475245177,3490551.12375647,2659629.156862262,2592160.859995054,2736095.4613664486,3420007.04801676,3705320.7269972903,4134930.452730365,4677587.106855526,4952404.346189574,5207131.9376211455,5246209.361515826,5001117.030506251,5470755.775077351,5924109.817841278,6381926.850966328
Maldonado,11231028.711615749,14679536.42707245,20074985.804557666,21701524.58135191,22920224.335348643,26824297.21843989,38477255.47269333,38073076.56228887,39396200.203786984,35827864.48759512,36609099.60713654,32465036.66493931,18229626.279460844,17486053.830033716,19855878.69098359,25860624.94566808,26230463.543393414,29441913.68128087,28832806.946058944,30103630.03372938,32383470.25821217,30167798.99349538,26596964.799501367,29221069.17164921,29277425.629612003,27848076.38913061,30445634.25219508,30895075.165549938,32357026.988929767,31456421.718623124,29687853.398385063,33287407.586637642,37036542.634473436,39016885.46312509
Montevideo,,,,,,,,,,,,,,,,,91458650.45056736,88486926.22274779,79121075.29127534,76549290.9508589,64698965.895064,63326430.701557405,45721570.80823015,61362541.674911246,71490758.97751264,84531281.46518898,97993851.56267136,105923895.94903624,106733853.8568354,106768033.01320456,101851347.66140042,111650832.98819333,110926828.69121318,112475710.90017825
