"Indicador: Participación en el PIB nacional (%)"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2009"

;Total
"Litoral Norte";7,079660337
Noreste;5,754669794
Centro;3,983027892
"Litoral Sur";9,903754921
Este;10,0739688
Metropolitana;63,20491826
Montevideo;51,07211947
Artigas;1,403030308
Canelones;9,305540555
"Cerro Largo";1,809929641
Colonia;5,184263546
Durazno;1,317905327
Flores;0,769636685
Florida;1,89548588
Lavalleja;1,608030538
Maldonado;5,382193567
Paysandú;2,877442319
"Río Negro";2,338190852
Rivera;2,021081495
Rocha;1,81096668
Salto;2,79918771
"San José";2,827258232
Soriano;2,381300523
Tacuarembó;1,923658657
"Treinta y Tres";1,272778015
"Total País";100


"Fuente: Observatorio Territorio Uruguay - OPP en base a BCU, INE y otros"
"Base: No existe información asociada"
"Observaciones: Sin observaciones"
